"Alpha","Fold","Lambda","MAE","RMSE","R2"
0.25,2,0.497682066764738,127.525788939601,156.907245046048,-0.0702494572782644
0.25,2,0.442913665925944,128.75967976367,158.987862011545,-0.0988210240567304
0.25,2,0.394172361361561,129.919193168439,160.878416741775,-0.125108974911611
0.25,2,0.350794889420565,131.070499958244,162.61925458287,-0.149589938004955
0.25,2,0.312190976603534,132.172657405227,164.210732718289,-0.172201033042119
0.25,2,0.277835307218003,133.278424405607,165.793607018258,-0.194908312290189
0.25,2,0.247260374968981,134.239823727888,167.188856037171,-0.215104626053673
0.25,3,382.849373932273,134.578055362781,167.035876059184,0.0161353374081288
0.25,3,340.717962389337,133.512644616367,164.987976234759,0.0401122818459225
0.25,3,303.222984805712,132.42955014087,162.980617605615,0.0633275161406849
0.25,3,269.854215697089,131.331334117383,161.034004755258,0.0855688095687133
0.25,3,240.157578345028,130.237496381823,159.167112279185,0.106648197287945
0.25,3,213.728965795699,129.164703871013,157.396937514119,0.126408499506146
0.25,3,190.208741838959,128.184348717589,155.737848855045,0.144728131910174
0.25,3,169.276847137993,127.356514706382,154.201083180157,0.161523890655474
0.25,3,150.648443914528,126.697513065201,152.794431897611,0.176751590976228
0.25,3,134.070039923227,126.145711130641,151.5221356255,0.190404641438182
0.25,3,119.316038970929,125.714996948078,150.384985577846,0.202510817200392
0.25,3,106.185671040782,125.355806428369,149.380608919751,0.213127631971454
0.25,3,94.5002602468927,125.020284712453,148.503898914483,0.222336785730753
0.25,3,84.1007934422775,124.756269241351,147.747540802133,0.230238180906051
0.25,3,74.845756394128,124.523285754928,147.102581758526,0.236943960785688
0.25,3,66.6092080814196,124.357863211702,146.5589972862,0.242572944810641
0.25,3,59.2790669102242,124.251282749263,146.10621523697,0.247245733564581
0.25,3,52.7555855258255,124.151922657708,145.733570124953,0.251080648810196
0.25,3,46.9499934671316,124.059449054585,145.430323873616,0.254194148335507
0.25,3,41.7832891928501,123.976106610712,145.188183571728,0.256675602121973
0.25,3,37.1851650415151,123.867427968949,144.964961017658,0.258959523757446
0.25,3,33.093050496401,123.760363618333,144.783575565972,0.260812797386187
0.25,3,29.4512607362285,123.699009679554,144.674133754024,0.261929877291676
0.25,3,26.2102388852802,123.687868838587,144.608852049759,0.262595809804591
0.25,3,23.3258816515924,123.697814351277,144.58134261488,0.262876340944489
0.25,3,20.7589391766155,123.741660847277,144.577432531924,0.26291621020605
0.25,3,18.4744809295988,123.797366384705,144.597717433212,0.262709362974771
0.25,3,16.4414203786764,123.876261662937,144.637525836138,0.262303348226865
0.25,3,14.6320919704577,124.008253220201,144.749459586811,0.261161112089386
0.25,3,13.0218746617296,124.216937415082,144.971832407631,0.258889270935753
0.25,3,11.588856880353,124.419164182465,145.219683338191,0.256353026491485
0.25,3,10.3135383561944,124.633827470495,145.491359081642,0.253568007015693
0.25,3,9.17856476465982,124.830074408779,145.751911349385,0.25089212721884
0.25,3,8.1684915719013,125.037018987506,146.025005257753,0.248082305356105
0.25,3,7.26957386814228,125.197079281667,146.251012918472,0.245752969101566
0.25,3,6.46957932920735,125.371603479373,146.496621555338,0.243217531812888
0.25,3,5.75762176106797,125.49824151532,146.674695987983,0.241376594958613
0.25,3,5.12401296230569,125.642696834635,146.874665195246,0.239306643750907
0.25,3,4.56013088866168,125.772772027329,147.065633223508,0.237327234303461
0.25,3,4.05830232567741,125.867511032491,147.21570048596,0.235769962142939
0.25,3,3.61169847285509,125.964148838715,147.367891100196,0.234189033504969
0.25,3,3.21424201846431,126.059375528868,147.517278148624,0.232635639153688
0.25,3,2.86052444048422,126.163261953174,147.675575192066,0.230987877141181
0.25,3,2.54573240832593,126.265792149276,147.827333068657,0.229406524076256
0.25,3,2.26558228382203,126.373671366396,147.992347390969,0.227685192451744
0.25,3,2.01626183018332,126.454366493579,148.126017050142,0.22628942191485
0.25,3,1.79437833570804,126.532066102682,148.254608309359,0.224945490508334
0.25,3,1.59691244631933,126.607277146263,148.374921941394,0.223687014138009
0.25,3,1.42117707869191,126.676264252102,148.486090542487,0.222523287035259
0.25,3,1.26478085486434,126.732182069738,148.577893229916,0.221561627726841
0.25,3,1.12559556076134,126.7861225004,148.667726362268,0.220620024690213
0.25,3,1.00172718580684,126.836224602602,148.752107580832,0.219735048546493
0.25,3,0.891490149539825,126.881907258533,148.829855150934,0.218919200510376
0.25,3,0.793384364512787,126.918874432868,148.892397171362,0.218262603279386
0.25,3,0.706074823348611,126.974117724401,148.980681284213,0.217335283218667
0.25,3,0.628373432179904,127.304486055346,149.479709053435,0.212083252471534
0.25,3,0.559222843263172,127.818737923234,150.269938832971,0.203730532582313
0.25,3,0.497682066764738,128.365218311256,151.126953544721,0.19462211587418
0.25,3,0.442913665925944,128.947837561257,152.04047484865,0.184856108144614
0.25,3,0.394172361361561,129.161278777582,152.385231595613,0.181155186071488
0.25,3,0.350794889420565,129.258398323542,152.546065218233,0.179425789121064
0.25,3,0.312190976603534,129.304673826188,152.624535038058,0.178581363909539
0.25,3,0.277835307218003,129.330522437895,152.670685380233,0.17808453052025
0.25,3,0.247260374968981,129.348608262466,152.704041508093,0.177725340248798
0.25,4,382.849373932273,129.394721254615,163.433942409602,0.0059044493036885
0.25,4,340.717962389337,128.30946294115,161.059489795577,0.0345800836539955
