"Alpha","Lambda","Mean_MAE","SD_MAE","Mean_RMSE","SD_RMSE","Mean_R2","SD_R2"
0.25,0.350794889420565,121.273712139516,9.01255818932222,145.570365914237,11.7554587374344,0.189685761586138,0.197521914381629
0.5,0.19708618068078,121.365974319047,8.99691041802921,145.698378809276,11.8019606850412,0.188146669106074,0.19881483664773
0.75,80.0525261150093,119.935709754523,4.45037186528615,145.743178482921,5.07800313384027,0.199870612713335,0.048777558128206
0.75,0.13139078712052,121.470301557134,9.09883036414974,145.847806763537,12.0129839996995,0.186125333885208,0.202460664417021
0.25,0.312190976603534,121.509877884626,9.33141341757518,145.914853656572,12.3467065159929,0.184890980557957,0.20718794725908
0.5,106.864482897849,120.056192139404,4.40628945420958,145.966182475512,4.98034130836703,0.197493331445812,0.046957314367637
0.5,0.175397444710283,121.597802178978,9.31491844255431,146.038801219937,12.3873727778475,0.18339790116747,0.208424971485064
0.75,0.116931629806855,121.726351723642,9.45953752023038,146.220725105574,12.6663838091487,0.180889242886162,0.213159347700362
0.25,0.277835307218003,121.74657375025,9.659820336654,146.2576385925,12.9384442592089,0.180082126637868,0.216878445393998
0.5,0.156095488301767,121.829427843188,9.64982065942804,146.372573650007,12.9861045385745,0.17866868909833,0.218222410660819
0.75,0.104063658867845,121.929969029384,9.75947818591321,146.517161775028,13.2011598239091,0.176675737892887,0.221879163035957
0.25,0.247260374968981,121.947127137602,9.95765212293122,146.551535847369,13.4710195560656,0.175890433303867,0.225568426982536
0.25,169.276847137993,120.600146511858,4.32126336958002,147.015845467389,4.92089719899883,0.186106638012881,0.0429508191587274
0.5,120.078789172514,121.175562602933,4.32375961826405,148.154424701923,5.1724008491292,0.173554468735676,0.0425729455679688
0.75,89.9514052323629,121.248356547621,4.35621233229047,148.308699810138,5.34765134891984,0.171798291037676,0.0445470938402702
0.25,190.208741838959,121.493520466919,4.31045992717287,148.771206365409,5.06377129036497,0.166790057336226,0.0389212741315093
0.25,213.728965795699,122.444597278674,4.39105269111992,150.660497497197,5.25646313990373,0.145717844465885,0.0349157352312679
0.5,134.927107848544,122.449603675472,4.41574352654225,150.67098975756,5.46868811145435,0.145534598480084,0.0385243923911178
0.75,101.074328268571,122.825569826526,4.4983337902611,151.402225210271,5.78716347735635,0.137221623656958,0.0414518658629715
0.25,240.157578345028,123.507155526326,4.4759590476866,152.670284670665,5.49593060072824,0.12298487086814,0.0310748765584599
0.5,151.611492402856,123.945986594811,4.5680156541867,153.532988297919,5.87559699226785,0.113043197855087,0.0354258273205312
0.25,269.854215697089,124.601106646285,4.57197520397454,154.783768585664,5.77670059458777,0.0987301561153283,0.0276008245444379
0.75,113.572654129779,124.730714673053,4.71445671318718,155.098279298368,6.41943395874179,0.0948881760257244,0.0409565301628197
0.5,170.358981194669,125.57374667061,4.73796492408586,156.750972739697,6.3919470227587,0.0757260222729554,0.0341650839013358
0.25,303.222984805712,125.70321619563,4.69025153681067,156.981391335142,6.09166042829561,0.0731337189008836,0.0247719240903196
0.25,340.717962389337,126.805665842894,4.83010570101266,159.241593147944,6.43288781759913,0.0464111000847665,0.0229265270240718
0.75,127.616457977424,126.884823257574,4.99141003478945,159.472052468266,7.25467941377449,0.0433756522125063,0.0447476782377894
0.5,191.424686966137,127.306258150128,4.96498744572096,160.327672777674,7.01000938456117,0.0332851241205921,0.0356376646808483
0.25,382.849373932273,127.888553815897,4.98451493885281,161.54165746458,6.79235975450285,0.0188059159938305,0.022367650591801
